"MacroTrends Data Download"
"SHEL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-03-17,8.7429,8.9547,8.6973,8.7429,25673
1980-03-18,9.1517,9.1517,8.7879,9.1517,20970
1980-03-19,9.0004,9.1672,9.0004,9.0004,14449
1980-03-20,8.9093,9.1366,8.9093,8.9093,20461
1980-03-21,8.8486,8.879,8.7879,8.8486,10982
1980-03-24,8.6668,8.8185,8.6668,8.6668,13600
1980-03-25,8.7274,8.758,8.6366,8.7274,14837
1980-03-26,8.7729,8.8336,8.758,8.7729,6449
1980-03-27,8.4399,8.5454,8.0606,8.4399,12146
1980-03-28,8.6366,8.6366,8.4399,8.6366,6424
1980-03-31,8.6517,8.6668,8.4849,8.6517,5309
1980-04-01,8.6517,8.7429,8.6366,8.6517,9746
1980-04-02,8.6668,8.758,8.6517,8.6668,7539
1980-04-03,8.7122,8.758,8.6517,8.7122,3661
1980-04-07,8.5454,8.6517,8.5454,8.5454,8291
1980-04-08,8.5761,8.5761,8.4244,8.5761,6182
1980-04-09,9.0303,9.0761,8.7879,9.0303,9939
1980-04-10,9.0761,9.1517,9.0154,9.0761,6497
1980-04-11,9.0004,9.091,9.0004,9.0004,4412
1980-04-14,9.1214,9.1365,9.0609,9.1214,5939
1980-04-15,9.091,9.1366,8.9698,9.091,8412
1980-04-16,9.2277,9.2428,9.1672,9.2277,8315
1980-04-17,9.1366,9.1672,9.091,9.1366,14740
1980-04-18,9.1517,9.1971,9.1517,9.1517,2376
1980-04-21,9.1971,9.2277,9.1672,9.1971,3079
1980-04-22,9.1672,9.1672,9.091,9.1672,6327
1980-04-23,9.2429,9.3034,9.1971,9.2429,14424
1980-04-24,9.1971,9.2429,9.1971,9.1971,6812
1980-04-25,9.1366,9.1517,9.091,9.1366,5746
1980-04-28,9.2578,9.2727,9.1971,9.2578,8000
1980-04-29,9.2727,9.2882,9.2122,9.2727,3661
1980-04-30,9.2727,9.2882,9.2122,9.2727,18133
1980-05-01,9.2578,9.2882,9.2429,9.2578,13600
1980-05-02,9.1821,9.2577,9.1821,9.1821,18643
1980-05-05,9.2578,9.2578,9.1822,9.2578,7176
1980-05-06,9.2429,9.2728,9.2429,9.2429,14279
1980-05-07,9.3489,9.3941,9.2428,9.3489,10667
1980-05-08,9.3185,9.4097,9.3185,9.3185,15224
1980-05-09,9.2122,9.3185,9.1821,9.2122,9915
1980-05-12,9.2882,9.3185,9.2277,9.2882,9552
1980-05-13,10.0607,10.1974,9.3639,10.0607,47297
1980-05-14,9.9851,10.0307,9.955,9.9851,14570
1980-05-15,9.7576,9.9702,9.7427,9.7576,8000
1980-05-16,9.7126,9.7427,9.667,9.7126,4752
1980-05-19,9.8338,9.8639,9.6971,9.8338,5382
1980-05-20,9.9851,10.0307,9.8945,9.9851,5649
